sensor_id,name,email,phone,sensor_type,location,status,message,notif_type
1,User 1,user1@mail.com,+380991110001,DoorSensor,Room 5,active,Notification message 1,warning
2,User 2,user2@mail.com,+380991110002,MotionSensor,Room 46,active,Notification message 2,alarm
3,User 3,user3@mail.com,+380991110003,MotionSensor,Room 37,active,Notification message 3,alarm
4,User 4,user4@mail.com,+380991110004,MotionSensor,Room 4,inactive,Notification message 4,alarm
5,User 5,user5@mail.com,+380991110005,DoorSensor,Room 27,inactive,Notification message 5,info
6,User 6,user6@mail.com,+380991110006,DoorSensor,Room 35,inactive,Notification message 6,alarm
7,User 7,user7@mail.com,+380991110007,DoorSensor,Room 39,inactive,Notification message 7,alarm
8,User 8,user8@mail.com,+380991110008,MotionSensor,Room 2,inactive,Notification message 8,alarm
9,User 9,user9@mail.com,+380991110009,SmokeSensor,Room 6,inactive,Notification message 9,warning
10,User 10,user10@mail.com,+380991110010,MotionSensor,Room 2,inactive,Notification message 10,warning
11,User 11,user11@mail.com,+380991110011,DoorSensor,Room 37,inactive,Notification message 11,info
12,User 12,user12@mail.com,+380991110012,MotionSensor,Room 4,active,Notification message 12,warning
13,User 13,user13@mail.com,+380991110013,MotionSensor,Room 25,active,Notification message 13,info
14,User 14,user14@mail.com,+380991110014,SmokeSensor,Room 10,active,Notification message 14,alarm
15,User 15,user15@mail.com,+380991110015,SmokeSensor,Room 46,active,Notification message 15,info
16,User 16,user16@mail.com,+380991110016,SmokeSensor,Room 32,active,Notification message 16,alarm
17,User 17,user17@mail.com,+380991110017,MotionSensor,Room 18,active,Notification message 17,alarm
18,User 18,user18@mail.com,+380991110018,SmokeSensor,Room 39,active,Notification message 18,info
19,User 19,user19@mail.com,+380991110019,SmokeSensor,Room 10,active,Notification message 19,info
20,User 20,user20@mail.com,+380991110020,SmokeSensor,Room 48,active,Notification message 20,warning
21,User 21,user21@mail.com,+380991110021,DoorSensor,Room 37,active,Notification message 21,alarm
22,User 22,user22@mail.com,+380991110022,DoorSensor,Room 29,inactive,Notification message 22,alarm
23,User 23,user23@mail.com,+380991110023,DoorSensor,Room 3,inactive,Notification message 23,info
24,User 24,user24@mail.com,+380991110024,DoorSensor,Room 11,inactive,Notification message 24,alarm
25,User 25,user25@mail.com,+380991110025,DoorSensor,Room 24,inactive,Notification message 25,warning
26,User 26,user26@mail.com,+380991110026,DoorSensor,Room 12,active,Notification message 26,alarm
27,User 27,user27@mail.com,+380991110027,SmokeSensor,Room 18,inactive,Notification message 27,warning
28,User 28,user28@mail.com,+380991110028,SmokeSensor,Room 12,inactive,Notification message 28,alarm
29,User 29,user29@mail.com,+380991110029,DoorSensor,Room 35,inactive,Notification message 29,info
30,User 30,user30@mail.com,+380991110030,SmokeSensor,Room 30,active,Notification message 30,info
31,User 31,user31@mail.com,+380991110031,MotionSensor,Room 18,inactive,Notification message 31,info
32,User 32,user32@mail.com,+380991110032,MotionSensor,Room 25,active,Notification message 32,warning
33,User 33,user33@mail.com,+380991110033,SmokeSensor,Room 39,inactive,Notification message 33,warning
34,User 34,user34@mail.com,+380991110034,SmokeSensor,Room 5,active,Notification message 34,info
35,User 35,user35@mail.com,+380991110035,SmokeSensor,Room 13,active,Notification message 35,alarm
36,User 36,user36@mail.com,+380991110036,MotionSensor,Room 36,active,Notification message 36,alarm
37,User 37,user37@mail.com,+380991110037,MotionSensor,Room 42,active,Notification message 37,alarm
38,User 38,user38@mail.com,+380991110038,DoorSensor,Room 12,inactive,Notification message 38,info
39,User 39,user39@mail.com,+380991110039,DoorSensor,Room 38,inactive,Notification message 39,info
40,User 40,user40@mail.com,+380991110040,SmokeSensor,Room 36,active,Notification message 40,info
41,User 41,user41@mail.com,+380991110041,MotionSensor,Room 17,active,Notification message 41,warning
42,User 42,user42@mail.com,+380991110042,DoorSensor,Room 27,active,Notification message 42,warning
43,User 43,user43@mail.com,+380991110043,MotionSensor,Room 36,inactive,Notification message 43,info
44,User 44,user44@mail.com,+380991110044,SmokeSensor,Room 10,inactive,Notification message 44,info
45,User 45,user45@mail.com,+380991110045,DoorSensor,Room 45,active,Notification message 45,info
46,User 46,user46@mail.com,+380991110046,SmokeSensor,Room 8,active,Notification message 46,warning
47,User 47,user47@mail.com,+380991110047,MotionSensor,Room 15,inactive,Notification message 47,warning
48,User 48,user48@mail.com,+380991110048,SmokeSensor,Room 13,inactive,Notification message 48,info
49,User 49,user49@mail.com,+380991110049,DoorSensor,Room 5,active,Notification message 49,info
50,User 50,user50@mail.com,+380991110050,DoorSensor,Room 21,active,Notification message 50,warning
51,User 51,user51@mail.com,+380991110051,DoorSensor,Room 46,active,Notification message 51,info
52,User 52,user52@mail.com,+380991110052,DoorSensor,Room 6,inactive,Notification message 52,info
53,User 53,user53@mail.com,+380991110053,DoorSensor,Room 45,inactive,Notification message 53,alarm
54,User 54,user54@mail.com,+380991110054,DoorSensor,Room 4,active,Notification message 54,info
55,User 55,user55@mail.com,+380991110055,DoorSensor,Room 21,active,Notification message 55,alarm
56,User 56,user56@mail.com,+380991110056,SmokeSensor,Room 41,active,Notification message 56,info
57,User 57,user57@mail.com,+380991110057,DoorSensor,Room 39,active,Notification message 57,warning
58,User 58,user58@mail.com,+380991110058,DoorSensor,Room 5,active,Notification message 58,info
59,User 59,user59@mail.com,+380991110059,SmokeSensor,Room 34,active,Notification message 59,info
60,User 60,user60@mail.com,+380991110060,SmokeSensor,Room 33,active,Notification message 60,warning
61,User 61,user61@mail.com,+380991110061,SmokeSensor,Room 6,inactive,Notification message 61,warning
62,User 62,user62@mail.com,+380991110062,MotionSensor,Room 46,active,Notification message 62,info
63,User 63,user63@mail.com,+380991110063,DoorSensor,Room 46,inactive,Notification message 63,warning
64,User 64,user64@mail.com,+380991110064,DoorSensor,Room 22,inactive,Notification message 64,info
65,User 65,user65@mail.com,+380991110065,SmokeSensor,Room 38,inactive,Notification message 65,alarm
66,User 66,user66@mail.com,+380991110066,MotionSensor,Room 43,active,Notification message 66,info
67,User 67,user67@mail.com,+380991110067,DoorSensor,Room 18,inactive,Notification message 67,warning
